en,sv
item,post
file,fil
archive,arkivera
quit,avsluta
save,spara
close,stäng
close?,stänga?
modifications will not be saved.,förändringar sparas inte.
edit,editera
create text,skapa text
create section,skapa sektion
rename,ändra namn
copy,kopiera
delete,radera
move up,flytta upp
move down,flytta ner
rearrange,flytta
into section,in i sektion
out of section,ut ur sektion
chars,tecken
age,ålder
title,titel
subtitle,undertitel
reference,referens
references,referenser
author,författare
authors,författare
add author,lägg till författare
add reference,lägg till referens
index,index
indexed,indexerad
to do,att göra
search,sök
help,hjälp
canonical,kanonisk
ok,ok
show,visa
remove,ta bort
really,verkligen
cancel,avbryt
visit,besök
reference id,referens id
cut,klipp
paste,klistra
bold,fetstil
italic,kursiv
quote,citat
heading,rubrik
ordered,numrerad
unordered,onumrerad
link,länk
edit link,editera länk
footnote,fotnot
list,lista
add list item,lägg till listpunkt
remove list item,ta bort listpunkt
add ordered list,lägg till numrerad lista
add unordered list,lägg till onumrerad lista
Import BibTeX,Importera BibTeX
add manually,lägg till manuellt
started,påbörjad
outline,skiss
incomplete,ofullständig
draft,utkast
written,skriven
revised,reviderad
done,färdig
proofs,korrektur
final,slutgiltig
term,term
clear,rensa
character case is significant,stor/liten bokstav spelar roll
allow regular expression,tillåt regexp
